Time	 Wall Temp	 Sample Temp
2026-05-04 13:17:56.235504	 297.7401	 298.3965
2026-05-04 13:17:57.273150	 297.8723	 298.4185
2026-05-04 13:17:58.312458	 297.7107	 298.4009
2026-05-04 13:17:59.352254	 297.696	 NA
2026-05-04 13:18:10.375032	 297.8723	 298.7791
2026-05-04 13:18:11.400145	 297.8635	 298.5614
2026-05-04 13:18:12.424478	 297.9715	 298.5834
2026-05-04 13:18:13.479134	 297.8943	 298.5284
2026-05-04 13:18:14.517413	 297.9781	 298.6714
2026-05-04 13:18:15.571297	 297.8282	 298.3525
2026-05-04 13:18:16.608824	 297.9428	 298.4185
2026-05-04 13:18:17.632881	 297.8613	 298.4405
2026-05-04 13:18:18.670838	 297.8062	 298.6934
2026-05-04 13:18:19.693772	 297.9164	 298.5064
2026-05-04 13:18:20.731255	 297.9076	 298.7043
2026-05-04 13:18:21.754073	 297.9017	 298.5394
2026-05-04 13:18:22.776100	 297.9605	 298.6032
2026-05-04 13:18:23.800533	 298.0596	 298.5614
2026-05-04 13:18:24.838862	 297.674	 298.6934
2026-05-04 13:18:25.878125	 297.7952	 298.5504
2026-05-04 13:18:26.980207	 297.8282	 298.4185
2026-05-04 13:18:28.019371	 297.9017	 298.7351
2026-05-04 13:18:29.073358	 297.8812	 298.3525
2026-05-04 13:18:30.111310	 297.9054	 298.7264
2026-05-04 13:18:31.135195	 297.9825	 298.5175
2026-05-04 13:18:32.173105	 297.9054	 298.4954
2026-05-04 13:18:33.210399	 297.934	 298.7153
2026-05-04 13:18:34.233701	 297.8576	 298.4625
2026-05-04 13:18:35.257609	 297.9957	 298.6824
2026-05-04 13:18:36.294244	 297.9715	 298.7043
2026-05-04 13:18:37.398922	 297.7731	 298.5504
2026-05-04 13:18:38.452314	 297.9428	 298.4515
2026-05-04 13:18:39.491358	 298.0339	 298.5175
2026-05-04 13:18:40.529577	 297.8899	 298.5944
2026-05-04 13:18:41.551995	 297.9384	 298.5614
2026-05-04 13:18:42.575593	 297.9274	 298.6054
2026-05-04 13:18:43.615245	 297.9384	 298.7923
2026-05-04 13:18:44.651940	 298.0927	 298.9243
2026-05-04 13:18:45.676961	 297.8282	 298.5724
2026-05-04 13:18:46.713402	 297.9604	 298.9726
2026-05-04 13:18:47.739020	 297.9384	 298.8583
2026-05-04 13:18:48.775719	 297.8503	 298.7923
2026-05-04 13:18:49.798654	 298.0376	 298.7043
2026-05-04 13:18:50.837823	 298.031	 298.6714
2026-05-04 13:18:51.875768	 298.2249	 298.6824
2026-05-04 13:18:52.896852	 297.934	 298.7153
2026-05-04 13:18:53.968500	 298.0376	 298.7374
2026-05-04 13:18:55.024490	 297.9935	 298.7373
2026-05-04 13:18:56.078931	 298.0376	 298.7593
2026-05-04 13:18:57.116694	 297.8018	 298.6384
2026-05-04 13:18:58.140181	 298.0633	 298.6912
2026-05-04 13:18:59.179047	 298.0839	 298.6604
2026-05-04 13:19:00.217810	 298.0817	 298.7153
2026-05-04 13:19:01.318174	 298.0376	 298.8693
2026-05-04 13:19:02.375159	 298.1015	 298.6824
2026-05-04 13:19:03.411536	 297.8723	 298.6274
2026-05-04 13:19:04.435619	 298.0574	 298.7264
2026-05-04 13:19:05.472580	 297.9274	 298.6604
2026-05-04 13:19:06.495154	 298.0927	 298.8363
2026-05-04 13:19:07.518395	 298.1478	 298.6384
2026-05-04 13:19:08.556649	 297.8635	 298.6604
2026-05-04 13:19:09.595144	 298.1221	 298.9682
2026-05-04 13:19:10.618360	 298.0574	 298.8847
2026-05-04 13:19:11.656897	 298.1478	 298.8912
2026-05-04 13:19:12.695138	 297.9274	 298.7043
2026-05-04 13:19:13.717581	 298.2249	 298.8253
2026-05-04 13:19:14.740258	 298.1104	 298.8583
2026-05-04 13:19:15.763174	 298.1368	 298.8583
2026-05-04 13:19:16.802923	 298.1015	 298.8319
2026-05-04 13:19:17.840271	 298.1808	 298.8803
2026-05-04 13:19:18.879096	 298.1919	 298.9243
2026-05-04 13:19:19.901890	 298.0927	 298.8033
2026-05-04 13:19:20.972435	 297.9428	 298.8803
2026-05-04 13:19:22.027543	 298.0192	 298.8495
2026-05-04 13:19:23.065422	 298.1896	 298.9023
2026-05-04 13:19:24.103629	 297.9715	 298.7593
2026-05-04 13:19:25.125050	 298.0707	 298.7923
2026-05-04 13:19:26.148822	 298.0045	 298.9352
2026-05-04 13:19:27.171814	 298.1808	 298.9023
2026-05-04 13:19:28.242205	 297.9957	 298.9902
2026-05-04 13:19:29.281724	 298.0376	 298.8253
2026-05-04 13:19:30.336671	 298.0156	 298.7923
2026-05-04 13:19:31.374872	 298.1588	 298.9462
2026-05-04 13:19:32.412626	 298.1015	 298.7374
2026-05-04 13:19:33.453753	 298.1515	 299.0122
2026-05-04 13:19:34.490109	 298.2161	 298.999
2026-05-04 13:19:35.529202	 298.0596	 298.8143
2026-05-04 13:19:36.567317	 298.1478	 299.1882
2026-05-04 13:19:37.605844	 298.3902	 298.8693
2026-05-04 13:19:38.627878	 298.1985	 299.0892
2026-05-04 13:19:39.653799	 298.2103	 298.8693
2026-05-04 13:19:40.689223	 298.1368	 298.8407
2026-05-04 13:19:41.714339	 298.291	 298.9682
2026-05-04 13:19:42.750897	 298.0486	 298.8473
2026-05-04 13:19:43.774121	 298.2469	 299.0122
2026-05-04 13:19:44.812549	 298.172	 298.9902
2026-05-04 13:19:45.850307	 298.0192	 298.8363
2026-05-04 13:19:46.873560	 298.2514	 298.8473
2026-05-04 13:19:47.977663	 298.3461	 299.1442
2026-05-04 13:19:49.014235	 298.2029	 298.9243
2026-05-04 13:19:50.068663	 298.3682	 299.1222
2026-05-04 13:19:51.092416	 298.2837	 299.1552
2026-05-04 13:19:52.162618	 298.2602	 299.1749
2026-05-04 13:19:53.201311	 298.236	 299.1222
2026-05-04 13:19:54.255054	 298.28	 299.2321
2026-05-04 13:19:55.293475	 298.2029	 298.9792
2026-05-04 13:19:56.316755	 298.4365	 298.9463
2026-05-04 13:19:57.355775	 298.3572	 298.9572
2026-05-04 13:19:58.393314	 298.3131	 299.2101
2026-05-04 13:19:59.415449	 298.3131	 299.1112
2026-05-04 13:20:00.438581	 298.1588	 298.8913
2026-05-04 13:20:01.475514	 298.3572	 298.9792
2026-05-04 13:20:02.500249	 298.3395	 299.1442
2026-05-04 13:20:03.538221	 298.3131	 299.0672
2026-05-04 13:20:04.559176	 298.269	 299.0958
2026-05-04 13:20:05.583770	 298.291	 299.2431
2026-05-04 13:20:06.623111	 298.4564	 299.0672
2026-05-04 13:20:07.661768	 298.3462	 299.0342
2026-05-04 13:20:08.701174	 298.2338	 299.3751
2026-05-04 13:20:09.738889	 298.3425	 299.2981
2026-05-04 13:20:10.776016	 298.2778	 299.3773
2026-05-04 13:20:11.800040	 298.4784	 298.9572
2026-05-04 13:20:12.823326	 298.4012	 299.1661
2026-05-04 13:20:13.861509	 298.3902	 299.2761
2026-05-04 13:20:14.899948	 298.463	 299.0672
2026-05-04 13:20:15.922358	 298.3572	 299.1991
2026-05-04 13:20:16.946796	 298.2955	 299.0562
2026-05-04 13:20:17.987729	 298.3682	 299.0122
2026-05-04 13:20:19.069091	 298.4343	 299.2321
2026-05-04 13:20:20.125038	 298.4541	 298.9792
2026-05-04 13:20:21.162267	 298.269	 299.397
2026-05-04 13:20:22.186804	 298.4541	 299.1749
2026-05-04 13:20:23.226601	 298.4233	 299.2431
2026-05-04 13:20:24.263627	 298.3021	 299.2541
2026-05-04 13:20:25.301499	 298.3461	 299.1661
2026-05-04 13:20:26.325176	 298.3748	 299.1552
2026-05-04 13:20:27.364550	 298.4306	 299.0122
2026-05-04 13:20:28.402524	 298.4982	 299.2805
2026-05-04 13:20:29.439715	 298.4784	 299.474
2026-05-04 13:20:30.462836	 298.4123	 299.496
2026-05-04 13:20:31.484832	 298.3902	 299.518
2026-05-04 13:20:32.508567	 298.463	 299.441
2026-05-04 13:20:33.547110	 298.3572	 299.2211
2026-05-04 13:20:34.584465	 298.5599	 299.3597
2026-05-04 13:20:35.608514	 298.5776	 299.2871
2026-05-04 13:20:36.647043	 298.4784	 299.1002
2026-05-04 13:20:37.685016	 298.3131	 299.408
2026-05-04 13:20:38.706457	 298.4894	 299.3201
2026-05-04 13:20:39.730568	 298.3865	 299.3531
2026-05-04 13:20:40.769735	 298.4189	 299.4652
2026-05-04 13:20:41.807864	 298.3461	 299.3641
2026-05-04 13:20:42.847055	 298.4784	 299.518
2026-05-04 13:20:43.884851	 298.5445	 299.3091
2026-05-04 13:20:44.971393	 298.4159	 299.1991
2026-05-04 13:20:46.024837	 298.4277	 299.518
2026-05-04 13:20:47.063621	 298.4233	 299.2761
2026-05-04 13:20:48.087221	 298.3572	 299.518
2026-05-04 13:20:49.109339	 298.5225	 299.386
2026-05-04 13:20:50.133075	 298.6657	 299.6499
2026-05-04 13:20:51.171595	 298.5188	 299.364
2026-05-04 13:20:52.208757	 298.5775	 299.2365
2026-05-04 13:20:53.247367	 298.3902	 299.364
2026-05-04 13:20:54.270180	 298.4012	 299.452
2026-05-04 13:20:55.293571	 298.5335	 299.463
2026-05-04 13:20:56.316216	 298.5687	 299.441
2026-05-04 13:20:57.339243	 298.4894	 299.8148
2026-05-04 13:20:58.362610	 298.507	 299.7291
2026-05-04 13:20:59.400396	 298.6216	 299.3091
2026-05-04 13:21:00.424161	 298.5004	 299.441
2026-05-04 13:21:01.461561	 298.3792	 299.43
2026-05-04 13:21:02.486033	 298.798	 299.2321
2026-05-04 13:21:03.522847	 298.7098	 299.496
2026-05-04 13:21:04.562131	 298.507	 299.2805
2026-05-04 13:21:05.600380	 298.4894	 299.386
2026-05-04 13:21:06.639952	 298.5886	 299.1222
2026-05-04 13:21:07.677375	 298.5114	 299.496
2026-05-04 13:21:08.700897	 298.6657	 299.2761
2026-05-04 13:21:09.738830	 298.5776	 299.518
2026-05-04 13:21:10.777695	 298.6657	 299.5092
2026-05-04 13:21:11.815730	 298.5004	 299.452
2026-05-04 13:21:12.902759	 298.6657	 299.496
2026-05-04 13:21:13.941492	 298.5599	 299.441
2026-05-04 13:21:14.995602	 298.5922	 299.7819
2026-05-04 13:21:16.019785	 298.5599	 299.4388
2026-05-04 13:21:17.074707	 298.6657	 299.6939
2026-05-04 13:21:18.113394	 298.5665	 299.386
2026-05-04 13:21:19.152639	 298.5555	 299.595
2026-05-04 13:21:20.191418	 298.5599	 299.6609
2026-05-04 13:21:21.227725	 298.6069	 299.5949
2026-05-04 13:21:22.251495	 298.5599	 299.3773
2026-05-04 13:21:23.290204	 298.7098	 299.562
2026-05-04 13:21:24.312333	 298.4894	 299.551
2026-05-04 13:21:25.335487	 298.5665	 299.6279
2026-05-04 13:21:26.358128	 298.6393	 299.7049
2026-05-04 13:21:27.380126	 298.4894	 299.595
2026-05-04 13:21:28.403426	 298.5511	 299.5444
2026-05-04 13:21:29.428091	 298.5555	 299.6279
2026-05-04 13:21:30.465352	 298.7098	 299.584
2026-05-04 13:21:31.503594	 298.7869	 299.7819
2026-05-04 13:21:32.542283	 298.7274	 299.562
2026-05-04 13:21:33.580143	 298.798	 299.452
2026-05-04 13:21:34.604577	 298.6833	 299.7467
2026-05-04 13:21:35.642345	 298.5775	 299.8478
2026-05-04 13:21:36.680471	 298.4784	 299.584
2026-05-04 13:21:37.716691	 298.6106	 299.8148
2026-05-04 13:21:38.741324	 298.6216	 299.6829
2026-05-04 13:21:39.812325	 298.6569	 299.3201
2026-05-04 13:21:40.851635	 298.6877	 299.8478
2026-05-04 13:21:41.970386	 298.7538	 299.6499
2026-05-04 13:21:43.024568	 298.6767	 299.606
2026-05-04 13:21:44.076980	 298.4806	 299.8258
2026-05-04 13:21:45.100464	 298.6657	 299.507
2026-05-04 13:21:46.123677	 298.7186	 299.6763
2026-05-04 13:21:47.146260	 298.6547	 299.7599
2026-05-04 13:21:48.169233	 298.5886	 299.595
2026-05-04 13:21:49.207698	 298.7208	 299.8038
2026-05-04 13:21:50.256264	 298.8332	 299.9798
2026-05-04 13:21:51.284610	 298.8273	 299.9908
2026-05-04 13:21:52.307638	 298.7362	 299.6763
2026-05-04 13:21:53.346677	 298.7318	 299.397
2026-05-04 13:21:54.383507	 298.7979	 299.7819
2026-05-04 13:21:55.406774	 298.7649	 299.8808
2026-05-04 13:21:56.431642	 298.7979	 299.8808
2026-05-04 13:21:57.467567	 298.7392	 299.7489
2026-05-04 13:21:58.492285	 298.7627	 299.6939
2026-05-04 13:21:59.529284	 298.82	 299.8148
2026-05-04 13:22:00.552287	 298.6877	 300.0018
2026-05-04 13:22:01.575504	 298.831	 299.7159
2026-05-04 13:22:02.614358	 298.6305	 299.6719
2026-05-04 13:22:03.652084	 298.7538	 299.9578
2026-05-04 13:22:04.675618	 298.7891	 299.905
2026-05-04 13:22:05.713946	 298.7759	 299.6829
2026-05-04 13:22:06.753657	 298.809	 299.6719
2026-05-04 13:22:07.791566	 298.7451	 299.6609
2026-05-04 13:22:08.829235	 298.842	 299.7269
2026-05-04 13:22:09.853876	 298.8596	 299.7928
2026-05-04 13:22:10.890762	 298.7759	 299.6279
2026-05-04 13:22:11.975965	 298.7759	 299.8588
2026-05-04 13:22:13.015976	 298.853	 299.9908
2026-05-04 13:22:14.069950	 298.7539	 299.8478
2026-05-04 13:22:15.093596	 298.9449	 299.7819
2026-05-04 13:22:16.132364	 298.798	 299.9666
2026-05-04 13:22:17.170186	 298.9081	 299.7819
2026-05-04 13:22:18.208608	 298.9192	 299.9468
2026-05-04 13:22:19.247366	 298.8751	 299.9248
2026-05-04 13:22:20.287121	 298.8508	 299.9798
2026-05-04 13:22:21.323125	 298.798	 300.0347
2026-05-04 13:22:22.348217	 298.7715	 300.0018
2026-05-04 13:22:23.386761	 298.7538	 299.8808
2026-05-04 13:22:24.424971	 298.7318	 299.9028
2026-05-04 13:22:25.462426	 298.8971	 300.1227
2026-05-04 13:22:26.485189	 299.0359	 300.0128
2026-05-04 13:22:27.508771	 298.842	 300.1227
2026-05-04 13:22:28.546697	 298.7803	 299.9138
2026-05-04 13:22:29.568505	 298.9192	 300.0897
2026-05-04 13:22:30.639781	 298.8641	 300.2107
2026-05-04 13:22:31.677567	 298.7274	 300.1887
2026-05-04 13:22:32.733556	 298.9008	 300.1777
2026-05-04 13:22:33.757581	 298.8685	 300.0018
2026-05-04 13:22:34.795599	 298.8751	 300.1865
2026-05-04 13:22:35.832643	 299.0073	 299.9358
2026-05-04 13:22:36.856861	 298.9853	 299.9798
2026-05-04 13:22:37.895859	 298.7715	 299.7379
2026-05-04 13:22:38.967160	 298.8273	 300.0568
2026-05-04 13:22:40.019239	 298.9478	 300.2393
2026-05-04 13:22:41.074094	 299.0183	 299.7928
2026-05-04 13:22:42.096877	 299.0514	 299.9138
2026-05-04 13:22:43.136600	 298.9412	 300.3426
2026-05-04 13:22:44.174969	 299.0712	 300.0458
2026-05-04 13:22:45.198464	 299.1065	 299.8588
2026-05-04 13:22:46.237540	 299.0007	 300.0809
2026-05-04 13:22:47.275443	 298.8861	 299.9688
2026-05-04 13:22:48.298829	 299.0844	 300.1557
2026-05-04 13:22:49.336750	 299.0735	 299.8478
2026-05-04 13:22:50.360272	 298.9743	 300.1337
2026-05-04 13:22:51.396664	 299.2534	 300.2107
2026-05-04 13:22:52.421131	 299.0359	 300.2568
2026-05-04 13:22:53.443684	 298.8861	 300.0677
